Municipality,Place Name,Suburb,Latitude,Longitude,Sports Played,Number of Field Courts,Field Surface Type,Facility Condition,Changerooms,Address,Facility Name,Historical Information,Url,Categories
Yarra Ranges Shire Council,Wickams Road Reserve,Lauching Place,-37.788208,145.570748,Australian Rules Football,1.0,Grass,3. Average,"Male, Umpire/Officials",Wickhams Road Lauching Place 3139,,,,"['Yarra Ranges Shire Council', 'Lauching Place', 'Sports', 'Football']"
Yarra Ranges Shire Council,Woori Yallock Reserve,Woori Yallock,-37.783371,145.53274,Australian Rules Football,1.0,Grass,4. Good,"Male, Umpire/Officials",Shevlins Lane Woori Yallock 3139,,,,"['Yarra Ranges Shire Council', 'Woori Yallock', 'Sports', 'Football']"
Yarra Ranges Shire Council,Yarra Glen Recreation Reserve,Yarra Glen,-37.660307,145.382561,Australian Rules Football,1.0,Grass,3. Average,"Male, Umpire/Officials",Melba Hwy Yarra Glen 3775,,,,"['Yarra Ranges Shire Council', 'Yarra Glen', 'Sports', 'Football']"
Yarra Ranges Shire Council,Yarra Junction Recreation Reserve,Yarra Junction,-37.780469,145.612006,Australian Rules Football,1.0,Grass,4. Good,"Male, Umpire/Officials",Park Road Yarra Junction 3797,,,,"['Yarra Ranges Shire Council', 'Yarra Junction', 'Sports', 'Football']"
Yarra Ranges Shire Council,Baynes Reserve,Monbulk,-37.876185,145.401865,Cricket,1.0,Synthetic Pitch,2. Poor,,Baynes Park Road Monbulk 3793,,,,"['Yarra Ranges Shire Council', 'Monbulk', 'Sports', 'Cricket']"
Yarra Ranges Shire Council,Ernest Lloyd Reserve,Gladysdale,-37.815685,145.646885,Cricket,1.0,Synthetic Pitch,2. Poor,,Little Yarra Road Gladysdale 3797,,,,"['Yarra Ranges Shire Council', 'Gladysdale', 'Sports', 'Cricket']"
Yarra Ranges Shire Council,Ferny Creek Reserve,Ferny Creek,-37.875346,145.345796,Cricket,1.0,Concrete Pitch,,,Clarkmont Road Ferny Creek 3786,,,,"['Yarra Ranges Shire Council', 'Ferny Creek', 'Sports', 'Cricket']"
Yarra Ranges Shire Council,Gruyere Recreation Reserve,Gruyere,-37.730845,145.445084,Cricket,1.0,Synthetic Pitch,3. Average,"Male, Umpire/Officials",Killara Road Gruyere 3770,,,,"['Yarra Ranges Shire Council', 'Gruyere', 'Sports', 'Cricket']"
Yarra Ranges Shire Council,Hoddles Creek Community Reserve,Hoddles Creek,-37.826476,145.59628,Cricket,1.0,Synthetic Pitch,3. Average,"Male, Umpire/Officials",Gembrook Road Hoddles Creek 3139,,,,"['Yarra Ranges Shire Council', 'Hoddles Creek', 'Sports', 'Cricket']"
Yarra Ranges Shire Council,Keith Hume Fraser Reserve,Montrose,-37.803327,145.355379,Cricket,2.0,Synthetic Pitch,3. Average,"Male, Umpire/Officials",Swansea Road Montrose 3765,,,,"['Yarra Ranges Shire Council', 'Montrose', 'Sports', 'Cricket']"
Yarra Ranges Shire Council,Menzies Creek Reserve,Menzies Creek,-37.913167,145.393932,Cricket,1.0,Synthetic Pitch,2. Poor,"Male, Umpire/Officials",Black Hill Road Menzies Creek 3159,,,,"['Yarra Ranges Shire Council', 'Menzies Creek', 'Sports', 'Cricket']"
Yarra Ranges Shire Council,Millgrove Recreation ReserveÂ Â ,Millgrove,-37.753601,145.649617,Cricket,1.0,Synthetic Pitch,3. Average,"Male, Umpire/Officials",Moore Cresent Millgrove 3799,,,,"['Yarra Ranges Shire Council', 'Millgrove', 'Sports', 'Cricket']"
Yarra Ranges Shire Council,Sheep Station Creek Reserve,Yellingbo,-37.804472,145.524548,Cricket,1.0,Synthetic Pitch,2. Poor,,Healsville Koo Wee Rup Road Yellingbo 3139,,,,"['Yarra Ranges Shire Council', 'Yellingbo', 'Sports', 'Cricket']"
Yarra Ranges Shire Council,Chirnside Park Country Club,Chirnside Park,-37.750543,145.325894,Golf,1.0,18 Hole Course - Private,,,Kingswood Drive Chirnside Park 3116,,,,"['Yarra Ranges Shire Council', 'Chirnside Park', 'Sports', 'Golf']"
Yarra Ranges Shire Council,Croyden Golf Club,Croyden,-37.692348,145.35434900000000,Golf,1.0,18 Hole Course - Private,,,Victoria Road Croyden 3136,,,,"['Yarra Ranges Shire Council', 'Croyden', 'Sports', 'Golf']"
Yarra Ranges Shire Council,Healsville Golf Club,Healesville,-37.649925,145.502063,Golf,1.0,18 Hole Course - Public,,,Chum Creek Road Healesville 3777,,,,"['Yarra Ranges Shire Council', 'Healesville', 'Sports', 'Golf']"
Yarra Ranges Shire Council,Olinda Golf Course,Olinda,-37.853587,145.372309,Golf,1.0,18 Hole Course - Public,,,Olinda-Monbulk Road Olinda 3788,,,,"['Yarra Ranges Shire Council', 'Olinda', 'Sports', 'Golf']"
Yarra Ranges Shire Council,Warburton Golf Club,Warburton,-37.75275300000000,145.679246,Golf,1.0,9 Hole Course - Public,4. Good,"Female, Male",Dammans Road Warburton 3799,,,,"['Yarra Ranges Shire Council', 'Warburton', 'Sports', 'Golf']"
Yarra Ranges Shire Council,McDermott Avenue Reserve,Mooroolbark,-37.776752,145.317568,Netball,10.0,Asphalt,2. Poor,"Female, Male",McDermott Avenue Mooroolbark 3138,,,,"['Yarra Ranges Shire Council', 'Mooroolbark', 'Sports', 'Netball']"
Yarra Ranges Shire Council,Upwey South Reserve,Upwey,-37.916485,145.32691600000000,Netball,3.0,Asphalt,2. Poor,,Brookside Street Upwey 3158,,,,"['Yarra Ranges Shire Council', 'Upwey', 'Sports', 'Netball']"
Yarra Ranges Shire Council,Mountain District Pistol Club,Dixons Creek,-37.589948,145.39625800000000,Shooting Sports,,,,,Pinnacle Lane Dixons Creek 3775,,,,"['Yarra Ranges Shire Council', 'Dixons Creek', 'Sports', 'Shooting']"
Yarra Ranges Shire Council,Yarra Pistol Club,Lysterfield,-37.943005,145.31501200000000,Shooting Sports,1.0,,,,Wellington Road Lysterfield 3156,,,,"['Yarra Ranges Shire Council', 'Lysterfield', 'Sports', 'Shooting']"
Yarra Ranges Shire Council,Esther Park,Mooroolbark,-37.779808,145.307144,Soccer,3.0,Grass,4. Good,"Male, Umpire/Officials",esther Cresent Mooroolbark 3138,,,,"['Yarra Ranges Shire Council', 'Mooroolbark', 'Sports', 'Soccer']"
Yarra Ranges Shire Council,Belgrave Swimming Pool & Tennis Club,Belgrave,-37.914008,145.353984,Swimming,1.0,"30m Pool - Outdoor, Toddlers Pool",4. Good,"Female, Male",69 Best Street Belgrave 3160,,,,"['Yarra Ranges Shire Council', 'Belgrave', 'Sports', 'Swimming']"
Yarra Ranges Shire Council,Monbulk Aquatic Centre,Monbulk,-37.876857,145.399805,Swimming,1.0,"25m Pool - Indoor, Childrens Learning Pool",2. Poor,"Female, Male",26 Baynes Park Road Monbulk 3793,,,,"['Yarra Ranges Shire Council', 'Monbulk', 'Sports', 'Swimming']"
Yarra Ranges Shire Council,Olinda Outdoor Pool,Olinda,-37.855481,145.3737,Swimming,2.0,"25m Pool - Outdoor, Toddlers Pool",1. Very Poor,"Female, Male",81 Olinda-Monbulk Road Olinda 3788,,,,"['Yarra Ranges Shire Council', 'Olinda', 'Sports', 'Swimming']"
Yarra Ranges Shire Council,Minak Reserve,Selby,-37.91259,145.372781,Tennis (Outdoor),4.0,,3. Average,,Wombalana Road Selby 3159,,,,"['Yarra Ranges Shire Council', 'Selby', 'Sports', 'Tennis']"
Yarra Ranges Shire Council,Warburton Tennis Courts,Warburton,-37.753384,145.704016,Tennis (Outdoor),4.0,Artificial Turf,1. Very Poor,,Woods point Road Warburton 3799,,,,"['Yarra Ranges Shire Council', 'Warburton', 'Sports', 'Tennis']"
Yarra Ranges Shire Council,Yarra Glen Tennis Club,Yarra Glen,-37.655904,145.371196,Tennis (Outdoor),3.0,Hard Court,2. Poor,Female,Anzac Avenue Yarra Glen 3775,,,,"['Yarra Ranges Shire Council', 'Yarra Glen', 'Sports', 'Tennis']"
Whitehorse City Council,Bennettswood Reserve,Bennettswood,-37.848417,145.11223700000000,Australian Rules Football,1.0,Grass,3. Average,"Umpire/Officials, Unisex",Holland Avenue Bennettswood 3125,,,,"['Whitehorse City Council', 'Bennettswood', 'Sports', 'Football']"
Whitehorse City Council,Box Hill City Oval,Box Hill,-37.818658,145.137222,Australian Rules Football,1.0,Grass,5. Very Good,"Umpire/Officials, Unisex",Davey Street Box Hill 3128,,,,"['Whitehorse City Council', 'Box Hill', 'Sports', 'Football']"
Whitehorse City Council,East Burwood Reserve,Burwood East,-37.856033,145.16110700000000,Australian Rules Football,2.0,Grass,4. Good,"Female, Male, Umpire/Officials",Burwood Hwy Burwood East 3151,,,,"['Whitehorse City Council', 'Burwood East', 'Sports', 'Football']"
Whitehorse City Council,Elgar Park,Mont Albert North,-37.797649,145.117244,Australian Rules Football,4.0,Grass,3. Average,"Female, Male",Elgar Road Mont Albert North 3129,,,,"['Whitehorse City Council', 'Mont Albert North', 'Sports', 'Football']"
Whitehorse City Council,Forest Hill Reserve,Forest Hill,-37.83732,145.174264,Australian Rules Football,1.0,Grass,3. Average,"Female, Male",Fraser Place Forest Hill 3131,,,,"['Whitehorse City Council', 'Forest Hill', 'Sports', 'Football']"
Whitehorse City Council,Heatherdale Reserve,Mitcham,-37.827306,145.210295,Australian Rules Football,2.0,Grass,4. Good,"Female, Male",Panel Street Mitcham 3132,,,,"['Whitehorse City Council', 'Mitcham', 'Sports', 'Football']"
Whitehorse City Council,Kalang Park,Blackburn,-37.82765300000000,145.142048,Australian Rules Football,1.0,Grass,3. Average,"Female, Male",Pakenham Street Blackburn 3130,,,,"['Whitehorse City Council', 'Blackburn', 'Sports', 'Football']"
Whitehorse City Council,Koonung Reserve,Blackburn North,-37.809822,145.150049,Australian Rules Football,2.0,Grass,4. Good,"Female, Male",Heppner Street Blackburn North 3130,,,,"['Whitehorse City Council', 'Blackburn North', 'Sports', 'Football']"
Whitehorse City Council,Livingstone Reserve,Vermont South,-37.858779,145.14998900000000,Australian Rules Football,1.0,Grass,3. Average,"Female, Male, Umpire/Officials",Hanover Road Vermont South 3133,,,,"['Whitehorse City Council', 'Vermont South', 'Sports', 'Football']"
Whitehorse City Council,Vermont Reserve,Vermont,-37.83752,145.19186300000000,Australian Rules Football,1.0,Grass,5. Very Good,"Female, Male, Umpire/Officials",Terrara Road Vermont 3133,,,,"['Whitehorse City Council', 'Vermont', 'Sports', 'Football']"
Whitehorse City Council,Walker Park,Nunawading,-37.81629,145.184729,Australian Rules Football,1.0,Grass,5. Very Good,"Female, Male, Umpire/Officials",Humphreys Avenue Nunawading 3131,,,,"['Whitehorse City Council', 'Nunawading', 'Sports', 'Football']"
Whitehorse City Council,Deakin YMCA,Burwood,-37.84695,145.116446,Badminton,2.0,Wooden Gymnasium,,,221 Burwood Hwy Burwood 3125,,,,"['Whitehorse City Council', 'Burwood', 'Sports', 'Badminton']"
Whitehorse City Council,Nunawading Community Centre,Nunawading,-37.819679,145.172854,Badminton,1.0,Wooden Gymnasium,2. Poor,"Female, Male",Oval Way Nunawading 3131,,,,"['Whitehorse City Council', 'Nunawading', 'Sports', 'Badminton']"
Whitehorse City Council,Sportlink,Vermont South,-37.853585,145.183854,Badminton,4.0,Wooden Gymnasium,5. Very Good,"Female, Male, Umpire/Officials",2 Hanover Road Vermont South 3133,,,,"['Whitehorse City Council', 'Vermont South', 'Sports', 'Badminton']"
Whitehorse City Council,Billabong Park,Vermont South,-37.857932,145.174201,Baseball,2.0,Grass,5. Very Good,"Umpire/Officials, Unisex","37, Tullimbar Circuit, Vermont South, City of Whitehorse, Victoria, 3133, Australia",,,,"['Whitehorse City Council', 'Vermont South', 'Sports', 'Baseball']"
Whitehorse City Council,Aqualink Box Hill,Box Hill,-37.826162,145.117616,Basketball,3.0,Wooden Gymnasium,5. Very Good,"Female, Male",Surry Drive Box Hill 3128,,,,"['Whitehorse City Council', 'Box Hill', 'Sports', 'Basketball']"
Whitehorse City Council,Mont Albert Reserve,Mont Albert,-37.809366,145.11032,Basketball,2.0,Asphalt,,,Dunloe Avenue Mont Albert 3127,,,,"['Whitehorse City Council', 'Mont Albert', 'Sports', 'Basketball']"
Whitehorse City Council,Nunawading Basketball Centre,Burwood East,-37.854187,145.161755,Basketball,5.0,Wooden Gymnasium,3. Average,"Female, Male, Umpire/Officials",Burwood Hwy Burwood East 3151,,,,"['Whitehorse City Council', 'Burwood East', 'Sports', 'Basketball']"
Whitehorse City Council,BallyShannassy Park,Ashwood,-37.856525,145.135184,Cricket,2.0,Synthetic Pitch,3. Average,Unisex,Highbury Road Ashwood 3147,,,,"['Whitehorse City Council', 'Ashwood', 'Sports', 'Cricket']"
Whitehorse City Council,Box Hill Gardens,Box Hill,-37.814683,145.121806,Cricket,1.0,Synthetic Pitch,,,Irving Avenue Box Hill 3128,,,,"['Whitehorse City Council', 'Box Hill', 'Sports', 'Cricket']"
Whitehorse City Council,Davey Lane,Forest Hill,-37.844914,145.176188,Cricket,1.0,Synthetic Pitch,,,Jolimont Road Forest Hill 3131,,,,"['Whitehorse City Council', 'Forest Hill', 'Sports', 'Cricket']"
Whitehorse City Council,Highbury Park,Burwood East,-37.858779,145.14998900000000,Cricket,1.0,Synthetic Pitch,,,Highbury Road Burwood East 3151,,,,"['Whitehorse City Council', 'Burwood East', 'Sports', 'Cricket']"
Whitehorse City Council,Mirrabooka Reserve,Blackburn South,-37.840531,145.149588,Cricket,3.0,Synthetic Pitch,4. Good,"Female, Male, Umpire/Officials",Holland Road Blackburn South 3130,,,,"['Whitehorse City Council', 'Blackburn South', 'Sports', 'Cricket']"
Whitehorse City Council,Terrara Park,Vermont South,-37.854244,145.193096,Cricket,3.0,Synthetic Pitch,3. Average,"Female, Male, Umpire/Officials",Terrara Road Vermont South 3133,,,,"['Whitehorse City Council', 'Vermont South', 'Sports', 'Cricket']"
Whitehorse City Council,Wattle Park,Surrey Hills,-37.839344,145.10439,Cricket,1.0,Turf Pitch,,,Riversdale Road Surrey Hills 3127,,,,"['Whitehorse City Council', 'Surrey Hills', 'Sports', 'Cricket']"
Whitehorse City Council,Box Hill Golf Club,Burwood,-37.839822,145.122439,Golf,1.0,18 Hole Course - Private,,,Station Street Burwood 3125,,,,"['Whitehorse City Council', 'Burwood', 'Sports', 'Golf']"
Whitehorse City Council,Morack Public Golf Course,Vermont,-37.850664,145.204442,Golf,1.0,18 Hole Course - Public,4. Good,"Female, Male",East Road Vermont 3133,,,,"['Whitehorse City Council', 'Vermont', 'Sports', 'Golf']"
Whitehorse City Council,Koonung Secondary College,Box Hill,-37.803174,145.11582,Hockey,1.0,Artificial Turf,,,Elgar Road Box Hill 3128,,,,"['Whitehorse City Council', 'Box Hill', 'Sports', 'Hockey']"
Whitehorse City Council,Wembley Park,Box Hill South,-37.830688,145.133035,Soccer,1.0,Grass,5. Very Good,"Female, Male, Umpire/Officials",Central Road Box Hill South 3129,,,,"['Whitehorse City Council', 'Box Hill South', 'Sports', 'Soccer']"
Whitehorse City Council,Box Hill Futsal ( Box Hill High School),Box Hill,-37.821281,145.137604,Soccer (Indoor Soccer / Futsal),1.0,Wooden Gymnasium,,,Middlebourgh Road Box Hill 3129,,,,"['Whitehorse City Council', 'Box Hill', 'Sports', 'Soccer']"
Whitehorse City Council,Bluebell Hill Tennis Club,Surrey Hills,-37.829773,145.10666,Tennis (Outdoor),2.0,Hard Court,2. Poor,,Erasmus Street Surrey Hills 3127,,,,"['Whitehorse City Council', 'Surrey Hills', 'Sports', 'Tennis']"
Whitehorse City Council,Charlesworth Park,Vermont South,-37.852209,145.17944600000000,Tennis (Outdoor),7.0,Hard Court,3. Average,"Female, Male",Livingstone Road Vermont South 3133,,,,"['Whitehorse City Council', 'Vermont South', 'Sports', 'Tennis']"
Whitehorse City Council,North Box Hill Tennis Club,Box Hill North,-37.79890200000000,145.12499,Tennis (Outdoor),6.0,Hard Court,3. Average,"Female, Male",Elizabeth Street Box Hill North 3129,,,,"['Whitehorse City Council', 'Box Hill North', 'Sports', 'Tennis']"
Whitehorse City Council,Nunawading Tennis Club,Nunawading,-37.81016,145.16706200000000,Tennis (Outdoor),7.0,Hard Court,3. Average,"Female, Male",Lane Street Nunawading 3131,,,,"['Whitehorse City Council', 'Nunawading', 'Sports', 'Tennis']"
Whitehorse City Council,Vermont Tennis Club,Vermont,-37.840591,145.188486,Tennis (Outdoor),6.0,Hard Court,4. Good,"Female, Male",Nunkeri Street Vermont 3133,,,,"['Whitehorse City Council', 'Vermont', 'Sports', 'Tennis']"
Greater Dandenong City Council,Alex Nelson Reserve,Springvale,-37.974962,145.153433,Australian Rules Football,1.0,Grass,,,Harold Road Springvale 3171,,,,"['Greater Dandenong City Council', 'Springvale', 'Sports', 'Football']"
Greater Dandenong City Council,BJ Powell Reserve,Noble Park North,-37.953837,145.193877,Australian Rules Football,2.0,Grass,4. Good,"Female, Male, Umpire/Officials",Halton Road Noble Park North 3174,,,,"['Greater Dandenong City Council', 'Noble Park North', 'Sports', 'Football']"
Greater Dandenong City Council,Dandenong Park (Shepley Oval),Dandenong,-37.9954,145.221365,Australian Rules Football,1.0,Grass,5. Very Good,"Female, Male, Umpire/Officials",Pultney Street Dandenong 3175,,,,"['Greater Dandenong City Council', 'Dandenong', 'Sports', 'Football']"
Greater Dandenong City Council,Edinburgh Reserve,Mulgrave,-37.936376,145.168138,Australian Rules Football,1.0,Grass,3. Average,"Umpire/Officials, Unisex",Dowling Avenue Mulgrave 3170,,,,"['Greater Dandenong City Council', 'Mulgrave', 'Sports', 'Football']"
Greater Dandenong City Council,Frederick Watcher Reserve,Keysborough,-37.986985,145.17481,Australian Rules Football,2.0,Grass,4. Good,"Female, Male, Umpire/Officials",Bloomfield Road Keysborough 3173,,,,"['Greater Dandenong City Council', 'Keysborough', 'Sports', 'Football']"
Greater Dandenong City Council,Lois Twohig Reserve,Dandenong North,-37.962081,145.21700800000000,Australian Rules Football,2.0,Grass,5. Very Good,"Female, Male, Umpire/Officials, Unisex",Carlton Road Dandenong North 3175,,,,"['Greater Dandenong City Council', 'Dandenong North', 'Sports', 'Football']"
Greater Dandenong City Council,Noble Park Reserve,Noble Park,-37.97745,145.169162,Australian Rules Football,1.0,Grass,5. Very Good,"Female, Male, Umpire/Officials",Moodemere Street Noble Park 3174,,,,"['Greater Dandenong City Council', 'Noble Park', 'Sports', 'Football']"
Greater Dandenong City Council,Noble Park Community Centre,Noble Park,-37.961328,145.171495,Badminton,3.0,Wooden Gymnasium,4. Good,"Female, Male",Memorial Drive Noble Park 3174,,,,"['Greater Dandenong City Council', 'Noble Park', 'Sports', 'Badminton']"
Greater Dandenong City Council,Springers Leisure Centre,Keysborough,-37.995822,145.15391500000000,Badminton,10.0,Wooden Gymnasium,5. Very Good,"Female, Male, Umpire/Officials",400 Cheltnam Road Keysborough 3173,,,,"['Greater Dandenong City Council', 'Keysborough', 'Sports', 'Badminton']"
Greater Dandenong City Council,Dandenong Indoor Sports Stadium,Dandenong North,-37.964204,145.22650900000000,Basketball,15.0,Wooden Gymnasium,5. Very Good,"Female, Male, Umpire/Officials",270 Stud Road Dandenong North 3175,,,,"['Greater Dandenong City Council', 'Dandenong North', 'Sports', 'Basketball']"
Greater Dandenong City Council,Alexander Rd Reserve,Dandenong,-37.970923,145.195534,Cricket,1.0,Turf Pitch,,,Alexander Road Dandenong 3175,,,,"['Greater Dandenong City Council', 'Dandenong', 'Sports', 'Cricket']"
Greater Dandenong City Council,Coomoora Rd Reserve,Keysborough,-37.983689,145.149697,Cricket,1.0,Turf Pitch,5. Very Good,"Female, Male, Umpire/Officials, Unisex",Coomoora Road Keysborough 3173,,,,"['Greater Dandenong City Council', 'Keysborough', 'Sports', 'Cricket']"
Greater Dandenong City Council,Parkfield Reserve,Noble Park,-37.962026,145.18166100000000,Cricket,1.0,Turf Pitch,5. Very Good,"Female, Male, Umpire/Officials",Dunblane Road Noble Park 3174,,,,"['Greater Dandenong City Council', 'Noble Park', 'Sports', 'Cricket']"
Greater Dandenong City Council,Warner Reserve,Springvale,-37.946035,145.161401,Cricket,1.0,Turf Pitch,5. Very Good,"Female, Male, Umpire/Officials",Flynn Street Springvale 3171,,,,"['Greater Dandenong City Council', 'Springvale', 'Sports', 'Cricket']"
Greater Dandenong City Council,WJ Pav Turner Reserve,Noble Park North,-37.947531,145.192879,Cricket,1.0,Synthetic Pitch,4. Good,"Female, Male, Umpire/Officials",Jacksons Road Noble Park North 3174,,,,"['Greater Dandenong City Council', 'Noble Park North', 'Sports', 'Cricket']"
Greater Dandenong City Council,Eastern Sward Golf Club,Bangholme,-38.06692,145.179927,Golf,,9 Hole Course - Private,,,Worsley Road Bangholme 3175,,,,"['Greater Dandenong City Council', 'Bangholme', 'Sports', 'Golf']"
Greater Dandenong City Council,Keysborough Golf Course,Keysborough,-38.010659,145.149382,Golf,,18 Hole Course - Public,,,Hutton Road Keysborough 3173,,,,"['Greater Dandenong City Council', 'Keysborough', 'Sports', 'Golf']"
Greater Dandenong City Council,JC Mills Reserve,Dandenong,-37.972185,145.218467,Hockey,2.0,Grass,5. Very Good,"Female, Male",Cleeland Street Dandenong 3175,,,,"['Greater Dandenong City Council', 'Dandenong', 'Sports', 'Hockey']"
Greater Dandenong City Council,Sporting Shooters Association of Victoria,Springvale,-37.943689,145.170338,Shooting Sports,1.0,,,,710 Dandenong Road Springvale 3171,,,,"['Greater Dandenong City Council', 'Springvale', 'Sports', 'Shooting']"
Greater Dandenong City Council,Carrum United Soccer Club,Bangholme,-38.056917,145.209935,Soccer,1.0,Grass,,,Dandenong Valley Hwy Bangholme 3175,,,,"['Greater Dandenong City Council', 'Bangholme', 'Sports', 'Soccer']"
Greater Dandenong City Council,George Andrews Reserve,Dandenong,-38.00183300000000,145.211675,Soccer,2.0,Grass,5. Very Good,"Female, Male, Umpire/Officials, Unisex",Deepdale Street Dandenong 3175,,,,"['Greater Dandenong City Council', 'Dandenong', 'Sports', 'Soccer']"
Greater Dandenong City Council,Glendale Reserve,Mulgrave,-37.939349,145.147027,Soccer,2.0,Grass,,,Whitworth Avenue Mulgrave 3170,,,,"['Greater Dandenong City Council', 'Mulgrave', 'Sports', 'Soccer']"
Greater Dandenong City Council,Norman Luth Reserve,Springvale,-37.954379,145.140357,Soccer,2.0,Grass,5. Very Good,"Female, Male, Umpire/Officials",Heritage Drive Springvale 3171,,,,"['Greater Dandenong City Council', 'Springvale', 'Sports', 'Soccer']"
Greater Dandenong City Council,Parkmore Soccer Club,Keysborough,-38.008946,145.16148,Soccer,2.0,Grass,,,Homeleigh Road Keysborough 3173,,,,"['Greater Dandenong City Council', 'Keysborough', 'Sports', 'Soccer']"
Greater Dandenong City Council,The Grenda Aquatic Centre (Haileybury College Pool),Keysborough,-37.994627,145.145307,Swimming,1.0,50m Pool - Outdoor,,,Springvale Road Keysborough 3173,,,,"['Greater Dandenong City Council', 'Keysborough', 'Sports', 'Swimming']"
Greater Dandenong City Council,Exhibition Hall,Dandenong,-37.970768,145.21750500000000,Table Tennis,16.0,,,,Heatherton Road Dandenong 3175,,,,"['Greater Dandenong City Council', 'Dandenong', 'Sports', 'Table Tennis']"
Greater Dandenong City Council,Springvale South Tennis Club,Springvale,-37.97299,145.149683,Tennis (Indoor),6.0,Hard Court,5. Very Good,"Female, Male",Mackay Street Springvale 3171,,,,"['Greater Dandenong City Council', 'Springvale', 'Sports', 'Tennis']"
Greater Dandenong City Council,Noble Park Uniting Tennis Club,Noble Park,-37.96638400000000,145.172978,Tennis (Outdoor),2.0,Artificial Turf,,,Frank Street Noble Park 3174,,,,"['Greater Dandenong City Council', 'Noble Park', 'Sports', 'Tennis']"
Greater Dandenong City Council,Rosewood Tennis Club,Noble Park North,-37.945829,145.219213,Tennis (Outdoor),6.0,Artificial Turf,,,Somerset Drive Noble Park North 3174,,,,"['Greater Dandenong City Council', 'Noble Park North', 'Sports', 'Tennis']"
Knox City Council,Batterham Reserve,The Basin,-37.854228000000000,145.301144,Australian Rules Football,2.0,Grass,,"Female, Male",Miller Road The Basin 3154,,,,"['Knox City Council', 'The Basin', 'Sports', 'Football']"
Knox City Council,Benedikt Reserve,Scoresby,-37.89294500000000,145.236377,Australian Rules Football,1.0,Grass,,"Female, Male",Benedikt Court Scoresby 3179,,,,"['Knox City Council', 'Scoresby', 'Sports', 'Football']"
Knox City Council,Carrington Park Reserve,Knoxfield,-37.89623,145.24393500000000,Australian Rules Football,1.0,Grass,,"Female, Male",Ferntree Gully Road Knoxfield 3180,,,,"['Knox City Council', 'Knoxfield', 'Sports', 'Football']"
Knox City Council,Chandler Park Reserve,Boronia,-37.860864,145.290982,Australian Rules Football,1.0,Grass,,"Female, Male",Chandler Road Boronia 3155,,,,"['Knox City Council', 'Boronia', 'Sports', 'Football']"
Knox City Council,Dobson Park Reserve,Ferntree Gully,-37.877866,145.285869,Australian Rules Football,1.0,Grass,,Male,Dorset Road Ferntree Gully 3156,,,,"['Knox City Council', 'Ferntree Gully', 'Sports', 'Football']"
Knox City Council,Eildon Park Reserve,Rowville,-37.918433,145.252051,Australian Rules Football,2.0,Grass,,,Eildon Parade Rowville 3178,,,,"['Knox City Council', 'Rowville', 'Sports', 'Football']"
Knox City Council,Knox Gardens Reserve,Wantirna South,-37.881089,145.226664,Australian Rules Football,2.0,Grass,,"Female, Male",Argyle Way Wantirna South 3152,,,,"['Knox City Council', 'Wantirna South', 'Sports', 'Football']"
Knox City Council,Lakesfield Reserve,Lysterfield,-37.912384,145.278083,Australian Rules Football,1.0,Grass,,,Lakesfield Drive Lysterfield 3156,,,,"['Knox City Council', 'Lysterfield', 'Sports', 'Football']"
Knox City Council,Marie Wallace Bayswater Park,Bayswater,-37.837551,145.269533,Australian Rules Football,2.0,Grass,,"Female, Male",Bayswater Road Bayswater 3153,,,,"['Knox City Council', 'Bayswater', 'Sports', 'Football']"
Knox City Council,Wantirna Reserve,Wantirna,-37.857561,145.210701,Australian Rules Football,1.0,Grass,,"Female, Male",Mountain Highway Wantirna 3152,,,,"['Knox City Council', 'Wantirna', 'Sports', 'Football']"
Knox City Council,Rowville Community Centre,Rowville,-37.919609,145.239588,Badminton,6.0,Wooden Flooring,,,20 Fulham Road Rowville 3178,,,,"['Knox City Council', 'Rowville', 'Sports', 'Badminton']"
Knox City Council,Gilbert Park Reserve,Knoxfield,-37.896456,145.25073900000000,Baseball,8.0,Grass,,,Forbes Close Knoxfield 3180,,,,"['Knox City Council', 'Knoxfield', 'Sports', 'Baseball']"
Knox City Council,Bayswater Indoor Soccer Centre,Bayswater,-37.845958,145.271516,Basketball,2.0,,,,13 Burton Court Bayswater 3153,,,,"['Knox City Council', 'Bayswater', 'Sports', 'Basketball']"
Knox City Council,Carrington Park Leisure Centre,Knoxfield,-37.89530900000000,145.242961,Basketball,,,,,20 O'Connor Road Knoxfield 3180,,,,"['Knox City Council', 'Knoxfield', 'Sports', 'Basketball']"
Knox City Council,Knox Basketball Stadium,Boronia,-37.864488,145.283504,Basketball,6.0,Wooden Gymnasium,,,Park Crescent Boronia 3155,,,,"['Knox City Council', 'Boronia', 'Sports', 'Basketball']"
Knox City Council,Bayswater Secondary College,Bayswater,-37.836924,145.262217,Cricket,1.0,Synthetic Pitch,,,Church Street Bayswater 3153,,,,"['Knox City Council', 'Bayswater', 'Sports', 'Cricket']"
Knox City Council,Colchester Reserve,Boronia,-37.839933,145.302088,Cricket,1.0,Synthetic Pitch,,,Colchester Road Boronia 3155,,,,"['Knox City Council', 'Boronia', 'Sports', 'Cricket']"
Knox City Council,Gilmour Park Reserve,Upper Ferntree Gully,-37.903201,145.30868700000000,Cricket,1.0,Synthetic Pitch,,,Ferndale Road Upper Ferntree Gully 3156,,,,"['Knox City Council', 'Upper Ferntree Gully', 'Sports', 'Cricket']"
